feature,importance_pct,direction,model,congress,session,chamber,roll_call_number,model_accuracy,sample_size,yes_votes,no_votes
party_cosponsor_Democrat_0,12.969437794935967,negative,LogisticRegression,119,1,House,3,1.0,426,216,210
party_Democrat,12.969437794935967,negative,LogisticRegression,119,1,House,3,1.0,426,216,210
party_cosponsor_Republican_0,12.102309766506192,positive,LogisticRegression,119,1,House,3,1.0,426,216,210
party_Republican,12.102309766506192,positive,LogisticRegression,119,1,House,3,1.0,426,216,210
party_region_Democrat_Far West,2.801462104444439,negative,LogisticRegression,119,1,House,3,1.0,426,216,210
party_region_Republican_Southeast,2.7994890874414313,positive,LogisticRegression,119,1,House,3,1.0,426,216,210
party_region_Democrat_Northeast,2.5479331417141444,negative,LogisticRegression,119,1,House,3,1.0,426,216,210
race_id_Caucasian,2.326993802793535,positive,LogisticRegression,119,1,House,3,1.0,426,216,210
race_id_Black,2.2074869630095018,negative,LogisticRegression,119,1,House,3,1.0,426,216,210
gender_F,1.946180324146353,negative,LogisticRegression,119,1,House,3,1.0,426,216,210
party_region_Democrat_Great Lakes,1.924929448586693,negative,LogisticRegression,119,1,House,3,1.0,426,216,210
party_region_Republican_Southwest,1.9195565120250784,positive,LogisticRegression,119,1,House,3,1.0,426,216,210
party_region_Republican_Great Lakes,1.8779108733366678,positive,LogisticRegression,119,1,House,3,1.0,426,216,210
party_region_Democrat_Southeast,1.757841160908702,negative,LogisticRegression,119,1,House,3,1.0,426,216,210
party_region_Democrat_Mid-Atlantic,1.659054267637301,negative,LogisticRegression,119,1,House,3,1.0,426,216,210
region_Far West,1.6172947628395926,negative,LogisticRegression,119,1,House,3,1.0,426,216,210
region_Northeast,1.5045346287464103,negative,LogisticRegression,119,1,House,3,1.0,426,216,210
party_region_Democrat_Southwest,1.3299667682348053,negative,LogisticRegression,119,1,House,3,1.0,426,216,210
clean_religion_Protestant Christian,1.2900897585890803,positive,LogisticRegression,119,1,House,3,1.0,426,216,210
party_region_Republican_Plains,1.246588999540735,positive,LogisticRegression,119,1,House,3,1.0,426,216,210
party_region_Republican_Mid-Atlantic,1.1937361127330073,positive,LogisticRegression,119,1,House,3,1.0,426,216,210
party_region_Republican_Far West,1.1841673416048468,positive,LogisticRegression,119,1,House,3,1.0,426,216,210
military_service,1.089315263050471,positive,LogisticRegression,119,1,House,3,1.0,426,216,210
gender_M,1.0790522957165811,positive,LogisticRegression,119,1,House,3,1.0,426,216,210
party_region_Republican_Northeast,1.043398512967734,positive,LogisticRegression,119,1,House,3,1.0,426,216,210
region_Southeast,1.0416479265327294,positive,LogisticRegression,119,1,House,3,1.0,426,216,210
clean_religion_Unaffiliation/Unknown,0.9904600393873497,negative,LogisticRegression,119,1,House,3,1.0,426,216,210
clean_religion_Jewish,0.9514399920314995,negative,LogisticRegression,119,1,House,3,1.0,426,216,210
experience_ratio,0.855755256768489,positive,LogisticRegression,119,1,House,3,1.0,426,216,210
party_region_Republican_Rocky Mountain,0.837462326856693,positive,LogisticRegression,119,1,House,3,1.0,426,216,210
staffer_turnover_rate,0.8286486251655796,negative,LogisticRegression,119,1,House,3,1.0,426,216,210
region_Plains,0.7319429281015067,positive,LogisticRegression,119,1,House,3,1.0,426,216,210
race_id_Hispanic,0.6930147432698995,negative,LogisticRegression,119,1,House,3,1.0,426,216,210
region_Southwest,0.5895897437902731,positive,LogisticRegression,119,1,House,3,1.0,426,216,210
seniority_Junior,0.573670250609499,positive,LogisticRegression,119,1,House,3,1.0,426,216,210
years_of_staffer_experience,0.5159280424513091,negative,LogisticRegression,119,1,House,3,1.0,426,216,210
party_region_Democrat_Plains,0.5146460714392284,negative,LogisticRegression,119,1,House,3,1.0,426,216,210
region_Mid-Atlantic,0.4653181549042938,negative,LogisticRegression,119,1,House,3,1.0,426,216,210
party_region_Democrat_Rocky Mountain,0.4336048319706557,negative,LogisticRegression,119,1,House,3,1.0,426,216,210
clean_religion_Mormon,0.4315944908723873,positive,LogisticRegression,119,1,House,3,1.0,426,216,210
years_of_experience,0.4215664014126536,negative,LogisticRegression,119,1,House,3,1.0,426,216,210
region_Rocky Mountain,0.4038574948860373,positive,LogisticRegression,119,1,House,3,1.0,426,216,210
race_id_Asian American/Pacific Islander,0.3977249286651603,negative,LogisticRegression,119,1,House,3,1.0,426,216,210
seniority_Freshman,0.3818758967780004,negative,LogisticRegression,119,1,House,3,1.0,426,216,210
clean_religion_Hindu,0.2585537257191625,negative,LogisticRegression,119,1,House,3,1.0,426,216,210
age,0.16991652657672934,positive,LogisticRegression,119,1,House,3,1.0,426,216,210
clean_religion_Muslim,0.16280508190459467,negative,LogisticRegression,119,1,House,3,1.0,426,216,210
seniority_Mid,0.1562683831705999,negative,LogisticRegression,119,1,House,3,1.0,426,216,210
seniority_Senior,0.13437967536521625,negative,LogisticRegression,119,1,House,3,1.0,426,216,210
clean_religion_Catholic,0.11731766585080548,negative,LogisticRegression,119,1,House,3,1.0,426,216,210
clean_religion_Buddhist,0.10823577299783246,negative,LogisticRegression,119,1,House,3,1.0,426,216,210
race_id_Arab,0.09908323849219655,positive,LogisticRegression,119,1,House,3,1.0,426,216,210
race_id_Native American,0.08525726801693966,positive,LogisticRegression,119,1,House,3,1.0,426,216,210
race_id_Biracial,0.08023570278787788,negative,LogisticRegression,119,1,House,3,1.0,426,216,210
region_Great Lakes,0.04701857525002559,negative,LogisticRegression,119,1,House,3,1.0,426,216,210
is_married,0.030702985023335076,negative,LogisticRegression,119,1,House,3,1.0,426,216,210
party_region_Independent_Northeast,0.0,neutral,LogisticRegression,119,1,House,3,1.0,426,216,210
party_cosponsor_Independent_1,0.0,neutral,LogisticRegression,119,1,House,3,1.0,426,216,210
party_cosponsor_Independent_0,0.0,neutral,LogisticRegression,119,1,House,3,1.0,426,216,210
party_cosponsor_Democrat_1,0.0,neutral,LogisticRegression,119,1,House,3,1.0,426,216,210
party_Independent,0.0,neutral,LogisticRegression,119,1,House,3,1.0,426,216,210
committee_membership,0.0,neutral,LogisticRegression,119,1,House,3,1.0,426,216,210
cosponsorship_status,0.0,neutral,LogisticRegression,119,1,House,3,1.0,426,216,210
party_cosponsor_Republican_1,0.0,neutral,LogisticRegression,119,1,House,3,1.0,426,216,210
party_cosponsor_Democrat_0,13.033289284134456,positive,LogisticRegression,119,1,House,4,1.0,423,209,214
party_Democrat,13.033289284134456,positive,LogisticRegression,119,1,House,4,1.0,423,209,214
party_cosponsor_Republican_0,12.124017900639709,negative,LogisticRegression,119,1,House,4,1.0,423,209,214
party_Republican,12.124017900639709,negative,LogisticRegression,119,1,House,4,1.0,423,209,214
party_region_Republican_Southeast,2.8368082928420284,negative,LogisticRegression,119,1,House,4,1.0,423,209,214
party_region_Democrat_Far West,2.8204525761805934,positive,LogisticRegression,119,1,House,4,1.0,423,209,214
