feature,importance_pct,direction,model,congress,session,chamber,roll_call_number,model_accuracy
is_married,0.2592239793720428,positive,LogisticRegression,119,1,House,3,1.0
clean_religion_Muslim,0.22386747410189037,negative,LogisticRegression,119,1,House,3,1.0
clean_religion_Buddhist,0.21655520597414635,negative,LogisticRegression,119,1,House,3,1.0
age,0.19321778118020647,positive,LogisticRegression,119,1,House,3,1.0
race_id_Biracial,0.07925601882577199,negative,LogisticRegression,119,1,House,3,1.0
years_of_staffer_experience,0.007808502403913466,negative,LogisticRegression,119,1,House,3,1.0
committee_membership,0.0,neutral,LogisticRegression,119,1,House,3,1.0
cosponsorship_status,0.0,neutral,LogisticRegression,119,1,House,3,1.0
party_Independent,0.0,neutral,LogisticRegression,119,1,House,3,1.0
party_Republican,39.71598441271563,neutral,RandomForest,119,1,House,3,1.0
party_Democrat,35.822345789065935,negative,RandomForest,119,1,House,3,1.0
race_id_Caucasian,6.517396303474368,neutral,RandomForest,119,1,House,3,1.0
gender_M,2.1274934872682634,neutral,RandomForest,119,1,House,3,1.0
gender_F,2.0804637095356915,negative,RandomForest,119,1,House,3,1.0
race_id_Black,1.8716262615802097,negative,RandomForest,119,1,House,3,1.0
staffer_turnover_rate,1.814327367133628,negative,RandomForest,119,1,House,3,1.0
region_Far West,1.6289396669388445,negative,RandomForest,119,1,House,3,1.0
clean_religion_Protestant Christian,1.2473283998813474,neutral,RandomForest,119,1,House,3,1.0
years_of_experience,0.9219821128605341,negative,RandomForest,119,1,House,3,1.0
age,0.7885622226939355,negative,RandomForest,119,1,House,3,1.0
region_Northeast,0.7733362256068038,negative,RandomForest,119,1,House,3,1.0
region_Southeast,0.7482539480984438,positive,RandomForest,119,1,House,3,1.0
years_of_staffer_experience,0.7205067478011272,negative,RandomForest,119,1,House,3,1.0
military_service,0.5273995646592745,positive,RandomForest,119,1,House,3,1.0
clean_religion_Jewish,0.46162556183605064,negative,RandomForest,119,1,House,3,1.0
clean_religion_Unaffiliation/Unknown,0.4081787713811862,negative,RandomForest,119,1,House,3,1.0
race_id_Hispanic,0.38233378325931827,negative,RandomForest,119,1,House,3,1.0
region_Southwest,0.28462821344189027,positive,RandomForest,119,1,House,3,1.0
clean_religion_Catholic,0.2315044751831863,negative,RandomForest,119,1,House,3,1.0
region_Rocky Mountain,0.2152048978968865,positive,RandomForest,119,1,House,3,1.0
region_Plains,0.17294461139436568,positive,RandomForest,119,1,House,3,1.0
is_married,0.1593465979629062,neutral,RandomForest,119,1,House,3,1.0
clean_religion_Mormon,0.06932965678166227,positive,RandomForest,119,1,House,3,1.0
race_id_Asian American/Pacific Islander,0.06930955115002864,negative,RandomForest,119,1,House,3,1.0
race_id_Arab,0.06843723121956058,negative,RandomForest,119,1,House,3,1.0
region_Great Lakes,0.06351725096912351,positive,RandomForest,119,1,House,3,1.0
race_id_Native American,0.04200152731442546,positive,RandomForest,119,1,House,3,1.0
region_Mid-Atlantic,0.03302719440642856,negative,RandomForest,119,1,House,3,1.0
clean_religion_Buddhist,0.020943952802359885,negative,RandomForest,119,1,House,3,1.0
race_id_Biracial,0.011596543639868772,negative,RandomForest,119,1,House,3,1.0
clean_religion_Muslim,0.00012396004673332026,negative,RandomForest,119,1,House,3,1.0
clean_religion_Hindu,0.0,negative,RandomForest,119,1,House,3,1.0
committee_membership,0.0,neutral,RandomForest,119,1,House,3,1.0
cosponsorship_status,0.0,neutral,RandomForest,119,1,House,3,1.0
party_Independent,0.0,neutral,RandomForest,119,1,House,3,1.0
party_Democrat,100.0,negative,XGBoost,119,1,House,3,1.0
party_Republican,0.0,neutral,XGBoost,119,1,House,3,1.0
region_Far West,0.0,negative,XGBoost,119,1,House,3,1.0
region_Great Lakes,0.0,positive,XGBoost,119,1,House,3,1.0
region_Mid-Atlantic,0.0,negative,XGBoost,119,1,House,3,1.0
region_Northeast,0.0,negative,XGBoost,119,1,House,3,1.0
region_Plains,0.0,positive,XGBoost,119,1,House,3,1.0
region_Rocky Mountain,0.0,positive,XGBoost,119,1,House,3,1.0
