person_id,first_name,last_name,party_name,us_state_id,district_no,display_name,Chamber,current_staff_count,staff_departed,turnover_rate
66858,Bill,Cassidy,Republican,LA,2,Sen. Bill Cassidy R-LA,Senate,70,25,0.35714285714285715
189610,Alex,Padilla,Democrat,CA,1,Sen. Alex Padilla D-CA,Senate,71,11,0.15492957746478872
140963,Elizabeth,Warren,Democrat,MA,1,Sen. Elizabeth Warren D-MA,Senate,74,21,0.28378378378378377
66834,Jeanne,Shaheen,Democrat,NH,2,Sen. Jeanne Shaheen D-NH,Senate,74,16,0.21621621621621623
51187,Chuck,Grassley,Republican,IA,1,Sen. Chuck Grassley R-IA,Senate,75,8,0.10666666666666667
66869,Martin,Heinrich,Democrat,NM,1,Sen. Martin Heinrich D-NM,Senate,77,27,0.35064935064935066
51247,Ron,Wyden,Democrat,OR,2,Sen. Ron Wyden D-OR,Senate,84,8,0.095238095
175665,Ted,Cruz,Republican,TX,2,Sen. Ted Cruz R-TX,Senate,92,22,0.2391304347826087
66862,Gary,Peters,Democrat,MI,2,Sen. Gary Peters D-MI,Senate,92,19,0.20652173913043478
51180,Dick,Durbin,Democrat,IL,1,Sen. Dick Durbin D-IL,Senate,100,11,0.11
51231,Chuck,Schumer,Democrat,NY,2,Sen. Chuck Schumer D-NY,Senate,114,6,0.052631579
