person_id,Chamber,us_state_id,party_name,display_name,staff_count,total_staff_experience,average_staff_experience,chief_of_staff_experience
51135,House,TX,Republican,Rep. Pete Sessions R-TX-17,19,175.6348539,9.243939679,16
51160,Senate,WA,Democrat,Sen. Maria Cantwell D-WA,58,93.15075595,1.606047516,9
51168,Senate,ME,Republican,Sen. Susan Collins R-ME,51,67.81585076,1.329722564,15
51170,Senate,TX,Republican,Sen. John Cornyn R-TX,59,152.426078,2.583492848,16
51173,Senate,ID,Republican,Sen. Mike Crapo R-ID,59,181.4482592,3.075394225,16
51180,Senate,IL,Democrat,Sen. Dick Durbin D-IL,100,162.0988214,1.620988214,11
51185,House,NE,Republican,Rep. Adrian Smith R-NE-3,20,199.7109027,9.985545136,9
51186,Senate,SC,Republican,Sen. Lindsey Graham R-SC,50,157.5327776,3.150655553,19
51187,Senate,IA,Republican,Sen. Chuck Grassley R-IA,73,168.0369818,2.301876463,11
51207,House,MI,Republican,Rep. Tim Walberg R-MI-5,47,207.8124836,4.421542203,12
51216,Senate,KY,Republican,Sen. Mitch McConnell R-KY,57,255.057305,4.474689562,16
51218,Senate,AK,Republican,Sen. Lisa Murkowski R-AK,54,189.08256,3.501528889,5
51219,Senate,WA,Democrat,Sen. Patty Murray D-WA,68,167.9644185,2.470064978,10
51223,Senate,RI,Democrat,Sen. Jack Reed D-RI,54,154.3525866,2.858381233,11
51230,Senate,VT,Democrat,Sen. Peter Welch D-VT,40,243.6209788,6.09052447,9
51231,Senate,NY,Democrat,Sen. Chuck Schumer D-NY,114,134.239695,1.177541184,11
51242,Senate,SD,Republican,Sen. John Thune R-SD,64,73.68979368,1.151403026,14
51247,Senate,OR,Democrat,Sen. Ron Wyden D-OR,86,254.569967,2.960115896,15
51250,House,AL,Republican,Rep. Robert Aderholt R-AL-4,27,155.3955867,5.7553921,11
51260,Senate,WI,Democrat,Sen. Tammy Baldwin D-WI,55,218.2430408,3.968055288,13
51277,House,GA,Democrat,Rep. Sanford Bishop D-GA-2,23,166.261931,7.228779608,12
51279,Senate,TN,Republican,Sen. Marsha Blackburn R-TN,45,226.2265361,5.027256357,6
51287,Senate,AR,Republican,Sen. John Boozman R-AR,52,91.78044529,1.765008563,9
51306,House,CA,Republican,Rep. Ken Calvert R-CA-41,23,221.2938541,9.621471918,6
51310,Senate,WV,Republican,Sen. Shelley Moore Capito R-WV,63,139.8716429,2.220184808,19
51316,House,TX,Republican,Rep. John Carter R-TX-31,18,161.7560906,8.986449477,9
51318,House,HI,Democrat,Rep. Ed Case D-HI-1,12,188.3149512,15.6929126,13
51324,House,MO,Democrat,Rep. Emanuel Cleaver D-MO-5,17,174.8985528,10.28815017,15
51325,House,SC,Democrat,Rep. Jim Clyburn D-SC-6,22,139.6923756,6.349653438,16
51327,House,OK,Republican,Rep. Tom Cole R-OK-4,38,242.4700181,6.380789949,20
